CRASH DATE,LATITUDE,LONGITUDE,new-string
12/08/2021,40.63311,-73.97217,12.6331.9721
09/11/2021,40.823772,-73.87245,09.8237.8724
07/09/2021,40.84497,-73.90247,07.8449.9024
09/10/2021,40.675507,-74.00075,09.6755.0007
07/01/2021,40.609535,-73.75372,07.6095.7537
07/07/2021,40.730446,-74.00431,07.7304.0043
09/11/2021,40.721645,-73.8026,09.7216.8026
07/07/2021,40.853477,-73.82622,07.8534.8262
09/11/2021,40.66901,-73.80265,09.6690.8026
09/11/2021,40.629475,-74.1123,09.6294.1123
09/03/2021,40.6843,-73.99724,09.6843.9972
07/08/2021,40.767612,-73.950005,07.7676.9500
08/23/2021,40.80066,-73.9544,08.8006.9544
09/11/2021,40.87645,-73.848175,09.8764.8481
09/11/2021,40.737865,-73.876144,09.7378.8761
09/06/2021,40.764103,-73.93277,09.7641.9327
07/08/2021,40.66735,-73.76994,07.6673.7699
07/07/2021,40.824265,-73.95642,07.8242.9564
09/11/2021,40.702045,-73.9156,09.7020.9156
09/07/2021,40.85306,-73.931,09.8530
09/11/2021,0.0,0.0,09
07/08/2021,40.697315,-73.932274,07.6973.9322
09/11/2021,40.679344,-73.859535,09.6793.8595
09/11/2021,40.708923,-73.81877,09.7089.8187
07/08/2021,40.60203,-74.09572,07.6020.0957
09/10/2021,40.693787,-73.81173,09.6937.8117
09/11/2021,40.826767,-73.888855,09.8267.8888
09/09/2021,40.56692,-74.116234,09.5669.1162
09/11/2021,40.623913,-74.00726,09.6239.0072
09/11/2021,40.592422,-73.99508,09.5924.9950
09/11/2021,40.6783,-73.88988,09.6783.8898
09/10/2021,40.748962,-73.89176,09.7489.8917
07/08/2021,40.631508,-73.90506,07.6315.9050
09/11/2021,40.677322,-73.790955,09.6773.7909
03/26/2022,40.57666,-73.965836,03.5766.9658
09/11/2021,40.804585,-73.94782,09.8045.9478
09/11/2021,40.832916,-73.92939,09.8329.9293
09/11/2021,40.722515,-73.73332,09.7225.7333
09/10/2021,40.692127,-73.83484,09.6921.8348
09/11/2021,40.807537,-73.8798,09.8075.8798
07/06/2021,40.878128,-73.86944,07.8781.8694
07/09/2021,40.75777,-73.854164,07.7577.8541
09/10/2021,40.6569,-73.907486,09.6569.9074
09/11/2021,40.845024,-73.92632,09.8450.9263
09/11/2021,40.817795,-73.89319,09.8177.8931
07/02/2021,40.81915,-73.93062,07.8191.9306
09/06/2021,40.591778,-74.12734,09.5917.1273
09/11/2021,40.753994,-73.94244,09.7539.9424
09/11/2021,40.724846,-73.999,09.7248
07/09/2021,40.822933,-73.93813,07.8229.9381
09/11/2021,40.680477,-73.951164,09.6804.9511
09/11/2021,40.648243,-73.929,09.6482
07/08/2021,40.64366,-73.90067,07.6436.9006
07/09/2021,40.6843,-73.94121,07.6843.9412
09/02/2021,40.602425,-74.091354,09.6024.0913
09/07/2021,40.662037,-73.95077,09.6620.9507
09/11/2021,40.68164,-73.98568,09.6816.9856
09/11/2021,40.781315,-73.94614,09.7813.9461
09/11/2021,40.74498,-73.89325,09.7449.8932
08/29/2021,40.6117,-74.13918,08.6117.1391
09/11/2021,40.616295,-73.92991,09.6162.9299
09/11/2021,40.78322,-73.84586,09.7832.8458
07/08/2021,40.87122,-73.83709,07.8712.8370
09/09/2021,40.680077,-73.852684,09.6800.8526
07/06/2021,40.843384,-73.88987,07.8433.8898
09/11/2021,40.680023,-73.794624,09.6800.7946
07/06/2021,40.72937,-73.955444,07.7293.9554
07/05/2021,40.683754,-73.88565,07.6837.8856
09/11/2021,40.70413,-73.76984,09.7041.7698
09/11/2021,40.609985,-73.96239,09.6099.9623
07/09/2021,40.673676,-73.86576,07.6736.8657
09/11/2021,40.751442,-73.97606,09.7514.9760
07/08/2021,40.86514,-73.801544,07.8651.8015
09/11/2021,40.72218,-73.84406,09.7221.8440
09/11/2021,40.797924,-73.9296,09.7979.9296
09/05/2021,40.626373,-73.99754,09.6263.9975
09/11/2021,40.883133,-73.882095,09.8831.8820
09/11/2021,40.90222,-73.85589,09.9022.8558
09/10/2021,40.72717,-73.78739,09.7271.7873
06/26/2021,40.600792,-73.76711,06.6007.7671
07/01/2021,40.84434,-73.91475,07.8443.9147
04/16/2021,40.67922,-73.90405,04.6792.9040
09/11/2021,40.802982,-73.93815,09.8029.9381
07/04/2021,40.731544,-73.955315,07.7315.9553
09/11/2021,40.683323,-73.80648,09.6833.8064
07/04/2021,40.732006,-73.95795,07.7320.9579
09/11/2021,40.6544,-73.92044,09.6544.9204
07/02/2021,40.589592,-73.786385,07.5895.7863
09/11/2021,40.736164,-73.97891,09.7361.9789
07/03/2021,40.59723,-73.76237,07.5972.7623
09/11/2021,40.67393,-73.999954,09.6739.9999
09/11/2021,40.840153,-73.88572,09.8401.8857
09/11/2021,40.599503,-74.067116,09.5995.0671
07/04/2021,40.822456,-73.868065,07.8224.8680
09/11/2021,40.59841,-73.97592,09.5984.9759
09/11/2021,40.697083,-73.85476,09.6970.8547
07/08/2021,40.896385,-73.87246,07.8963.8724
08/11/2021,40.695637,-73.80372,08.6956.8037
09/11/2021,40.69982,-73.996254,09.6998.9962
09/11/2021,40.590313,-74.09794,09.5903.0979
09/11/2021,40.787544,-73.82394,09.7875.8239
09/11/2021,40.67539,-73.88113,09.6753.8811
09/07/2021,40.634007,-74.07516,09.6340.0751
09/11/2021,40.73844,-73.88628,09.7384.8862
07/08/2021,40.60855,-74.13216,07.6085.1321
09/11/2021,40.58573,-74.16865,09.5857.1686
09/11/2021,40.599907,-73.94664,09.5999.9466
07/08/2021,40.806713,-73.93782,07.8067.9378
09/07/2021,40.748318,-73.87742,09.7483.8774
07/05/2021,40.68651,-73.76815,07.6865.7681
09/10/2021,40.624203,-74.177124,09.6242.1771
07/06/2021,40.744526,-73.77161,07.7445.7716
07/01/2021,40.576965,-74.16974,07.5769.1697
07/07/2021,40.8502,-73.8302,07.8502.8302
09/08/2021,40.715477,-73.998085,09.7154.9980
09/11/2021,40.611477,-73.94883,09.6114.9488
07/08/2021,40.681515,-73.90412,07.6815.9041
09/11/2021,40.61578,-73.99995,09.6157.9999
09/08/2021,40.82207,-73.94993,09.8220.9499
09/11/2021,40.74606,-73.85583,09.7460.8558
09/09/2021,40.72013,-73.79038,09.7201.7903
07/07/2021,40.688435,-73.78765,07.6884.7876
09/11/2021,40.84964,-73.89661,09.8496.8966
09/09/2021,40.68329,-73.85491,09.6832.8549
09/08/2021,40.812912,-73.95364,09.8129.9536
09/11/2021,40.6639,-73.7804,09.6639.7804
07/05/2021,40.59312,-73.772705,07.5931.7727
06/29/2021,40.596687,-73.74422,06.5966.7442
07/08/2021,40.673107,-73.99959,07.6731.9995
07/09/2021,40.63874,-73.8952,07.6387.8952
09/11/2021,40.675255,-73.73207,09.6752.7320
09/11/2021,40.846313,-73.92385,09.8463.9238
09/11/2021,40.608364,-73.95727,09.6083.9572
07/08/2021,40.682724,-73.88539,07.6827.8853
09/11/2021,40.80789,-73.852844,09.8078.8528
09/10/2021,40.607754,-74.13205,09.6077.1320
09/10/2021,40.708324,-73.84314,09.7083.8431
09/10/2021,40.79194,-73.95281,09.7919.9528
07/08/2021,40.718792,-73.98902,07.7187.9890
09/11/2021,40.86463,-73.892136,09.8646.8921
09/11/2021,40.67856,-73.889015,09.6785.8890
09/11/2021,40.721474,-73.98383,09.7214.9838
09/11/2021,40.79184,-73.93556,09.7918.9355
09/11/2021,40.78076,-73.825424,09.7807.8254
09/11/2021,40.7359,-73.91338,09.7359.9133
09/10/2021,40.710697,-73.984634,09.7106.9846
09/10/2021,40.760777,-73.95702,09.7607.9570
06/26/2021,40.81358,-73.89385,06.8135.8938
09/11/2021,40.575302,-73.98453,09.5753.9845
09/10/2021,40.66843,-73.91919,09.6684.9191
09/11/2021,40.81701,-73.9595,09.8170.9595
07/08/2021,40.85755,-73.882835,07.8575.8828
09/02/2021,40.89711,-73.88008,09.8971.8800
09/11/2021,40.685795,-73.911644,09.6857.9116
09/07/2021,40.69305,-73.799446,09.6930.7994
06/25/2021,40.609535,-73.75372,06.6095.7537
07/08/2021,40.720627,-74.00522,07.7206.0052
07/04/2021,40.763496,-73.87814,07.7634.8781
07/08/2021,40.686646,-73.849075,07.6866.8490
09/11/2021,40.579445,-73.9544,09.5794.9544
09/10/2021,40.762966,-73.973976,09.7629.9739
09/11/2021,40.76555,-73.83911,09.7655.8391
09/10/2021,40.779602,-73.95553,09.7796.9555
09/11/2021,40.553192,-74.164345,09.5531.1643
09/11/2021,40.836094,-73.883995,09.8360.8839
07/08/2021,40.59692,-73.94122,07.5969.9412
09/11/2021,40.62318,-73.98611,09.6231.9861
09/11/2021,40.67562,-73.88826,09.6756.8882
09/07/2021,40.80609,-73.95414,09.8060.9541
09/10/2021,40.87739,-73.8665,09.8773.8665
09/11/2021,40.689133,-73.951324,09.6891.9513
06/30/2021,40.83604,-73.92222,06.8360.9222
09/10/2021,40.76649,-73.95696,09.7664.9569
07/08/2021,40.731613,-73.9545,07.7316.9545
09/11/2021,40.708324,-74.00311,09.7083.0031
09/11/2021,40.65375,-73.931274,09.6537.9312
07/01/2021,40.60675,-73.756645,07.6067.7566
03/25/2022,40.743534,-73.93951,03.7435.9395
09/01/2021,40.678364,-73.77949,09.6783.7794
09/10/2021,40.724274,-74.01136,09.7242.0113
09/11/2021,40.8188,-73.956024,09.8188.9560
09/10/2021,40.69558,-73.788704,09.6955.7887
09/11/2021,40.80484,-73.912796,09.8048.9127
